x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1084 2280 -31 133 2625 55 25 2371 23.709999 1 0 
1093 2251 -30 134 2675 77 25 2349 23.490000 1 0 
1086 2193 -29 135 2725 53 25 2294 22.940001 1 0 
1083 2145 -28 136 2775 53 25 2250 22.500000 1 0 
1081 2100 -27 137 2825 53 25 2210 22.100000 1 0 
1081 2059 -26 138 2875 55 25 2174 21.740000 1 0 
1082 2022 -25 139 2925 59 25 2142 21.420000 1 0 
1082 1985 -24 140 2975 57 25 2110 21.100000 1 0 
1076 1921 -22 141 3050 59 25 2051 20.510000 1 0 
1082 1861 -21 142 3150 55 25 2003 20.030001 1 0 
1080 1794 -19 143 3250 57 25 1945 19.450001 1 0 
1081 1733 -17 144 3350 57 25 1894 18.940001 1 0 
1081 1568 -13 147 3650 45 25 1759 17.590000 1 0 
37 7249 -86 65 36000 25 25 7095 70.949997 2 0 
245 2551 -24 66 500 63 25 2406 24.059999 2 0 
255 2543 -23 67 525 67 25 2399 23.990000 2 0 
265 2537 -23 68 550 37 25 2394 23.940001 2 0 
285 2532 -22 69 600 61 25 2391 23.910000 2 0 
296 2532 -22 70 625 81 25 2392 23.920000 2 0 
306 2528 -22 71 650 113 25 2389 23.889999 2 0 
316 2526 -21 72 675 113 25 2389 23.889999 2 0 
327 2528 -21 73 700 113 25 2392 23.920000 2 0 
338 2535 -21 74 725 109 25 2400 24.000000 2 0 
348 2530 -21 75 750 53 25 2397 23.969999 2 0 
381 2542 -20 76 825 57 25 2413 24.129999 2 0 
393 2548 -20 77 850 61 25 2421 24.209999 2 0 
1077 1759 8 105 3300 21 25 1914 19.139999 2 0 
1079 1703 8 106 3400 29 25 1868 18.680000 2 0 
1075 1640 9 107 3500 37 25 1814 18.139999 2 0 
1077 1588 10 108 3600 49 25 1773 17.730000 2 0 
1075 1486 11 110 3800 49 25 1690 16.900000 2 0 
295 2538 10 67 625 45 25 2398 23.980000 3 0 
305 2535 11 68 650 49 25 2396 23.959999 3 0 
316 2533 11 69 675 51 25 2396 23.959999 3 0 
326 2532 11 70 700 51 25 2396 23.959999 3 0 
337 2535 11 71 725 53 25 2400 24.000000 3 0 
13 7270 -7 500 223 27 25 7112 71.126007 13 1 
36 7271 -7 501 242 15 25 7114 71.142006 13 1 
86 7279 -6 502 282 30 25 7122 71.222000 13 1 
320 7519 -2 503 461 250 25 7369 73.698006 13 1 
345 7510 -2 504 481 250 25 7361 73.618004 13 1 
371 7511 -1 505 501 25 25 7363 73.638000 13 1 
396 7510 -1 506 521 22 25 7364 73.644005 13 1 
446 7521 0 507 559 127 25 7378 73.786003 13 1 
424 5004 -8 508 719 42 25 4866 48.666004 13 1 
439 4976 -8 509 739 85 25 4840 48.406002 13 1 
455 4981 -8 510 758 42 25 4846 48.466003 13 1 
249 2777 -18 511 778 12 25 2633 26.330002 13 1 
249 2679 -18 512 798 10 25 2536 25.362001 13 1 
259 2540 -18 513 858 22 25 2398 23.986002 13 1 
